Order ID,Date,Region,Sales Channel,Customer Type,Product Category,Product,Salesperson,Quantity,Unit Price,Discount,Revenue
ORD-1064,2/2/2026,Central,Retail Store,Returning,Accessories,USB-C Hub,Hafiz Rahman,6,48.02,8%,265.04
ORD-1065,11/6/2026,North,Online,Returning,Monitors,24-inch Monitor,Daniel Wong,2,542.88,10%,977.18
ORD-1066,5/1/2026,Central,Marketplace,New,Accessories,Webcam,Chloe Lim,4,74.88,10%,269.57
ORD-1067,10/13/2026,East,Retail Store,Returning,Networking,Ethernet Cable,Nora Chen,4,17.1,10%,61.56
ORD-1068,9/8/2026,West,Online,New,Accessories,Wireless Mouse,Ben Ho,3,42.12,5%,120.04
ORD-1069,10/1/2026,West,Corporate Sales,Returning,Storage,USB Drive 128GB,Priya Shah,7,54,8%,347.76
ORD-1070,9/3/2026,Central,Online,New,Computers,All-in-One PC,Hafiz Rahman,2,2700,5%,5130
ORD-1071,9/9/2026,East,Retail Store,New,Accessories,USB-C Hub,Nora Chen,4,50.49,0%,201.96
ORD-1072,12/27/2026,Central,Retail Store,New,Office Supplies,Desk Organizer,Kevin Yap,5,29.93,3%,145.14
ORD-1073,9/30/2026,South,Marketplace,Returning,Office Supplies,Notebook Set,Jason Lee,3,23.85,5%,67.97
ORD-1074,6/2/2026,South,Corporate Sales,New,Networking,Wi-Fi Router,Raj Kumar,4,267.12,5%,1015.06
ORD-1075,12/13/2026,Central,Marketplace,New,Office Supplies,Printer Paper,Kevin Yap,2,16.85,8%,31
ORD-1076,10/21/2026,East,Online,New,Accessories,Laptop Stand,Nora Chen,7,36.25,5%,241.08
ORD-1077,12/20/2026,Central,Corporate Sales,New,Accessories,USB-C Hub,Chloe Lim,5,48.02,15%,204.06
ORD-1078,4/6/2026,West,Online,Returning,Accessories,Mouse Pad,Ben Ho,3,13.5,8%,37.26
ORD-1079,4/18/2026,North,Online,Returning,Storage,External HDD 2TB,Aisha Lim,3,279.36,10%,754.27
ORD-1080,5/26/2026,East,Marketplace,New,Accessories,Webcam,Amir Hassan,6,76.32,5%,435.02
ORD-1081,5/18/2026,West,Online,Returning,Office Supplies,Pen Pack,Sofia Tan,2,11.23,10%,20.22
ORD-1082,5/16/2026,West,Marketplace,Returning,Storage,External HDD 2TB,Priya Shah,8,305.28,3%,2368.97
ORD-1083,4/5/2026,Central,Retail Store,Returning,Monitors,27-inch Monitor,Chloe Lim,4,795.6,20%,2545.92
ORD-1084,9/6/2026,South,Corporate Sales,Returning,Networking,Network Switch,Farah Ali,9,165.24,15%,1264.09
ORD-1085,2/11/2026,East,Online,Returning,Accessories,Keyboard,Grace Ng,3,56.75,3%,165.13
ORD-1086,4/9/2026,East,Corporate Sales,Returning,Accessories,Wireless Mouse,Nora Chen,6,40.5,5%,230.85
ORD-1087,7/19/2026,West,Online,New,Storage,Memory Card 256GB,Sofia Tan,4,81,5%,307.8
ORD-1088,9/6/2026,East,Corporate Sales,Returning,Monitors,Ultrawide Monitor,Grace Ng,2,1350,20%,2160
ORD-1089,4/14/2026,West,Retail Store,New,Networking,Network Switch,Priya Shah,2,157.14,5%,298.57
ORD-1090,4/23/2026,South,Marketplace,Returning,Accessories,Webcam,Farah Ali,7,68.4,10%,430.92
ORD-1091,8/10/2026,East,Online,Returning,Storage,External HDD 2TB,Amir Hassan,7,279.36,8%,1799.08
ORD-1092,2/10/2026,East,Corporate Sales,New,Computers,Gaming Laptop,Amir Hassan,2,3780,10%,6804
ORD-1093,7/30/2026,South,Online,Returning,Networking,Ethernet Cable,Raj Kumar,6,18.36,5%,104.65
ORD-1094,3/31/2026,North,Corporate Sales,Returning,Monitors,Ultrawide Monitor,Daniel Wong,4,1309.5,0%,5238
ORD-1095,12/2/2026,West,Corporate Sales,Returning,Office Supplies,Desk Organizer,Priya Shah,9,30.56,8%,253
ORD-1096,11/18/2026,South,Retail Store,Returning,Storage,Memory Card 256GB,Raj Kumar,4,81,3%,314.28
ORD-1097,10/12/2026,Central,Online,New,Monitors,Portable Monitor,Kevin Yap,2,667.8,20%,1068.48
ORD-1098,12/14/2026,East,Corporate Sales,Returning,Storage,Memory Card 256GB,Grace Ng,14,84.24,5%,1120.39
ORD-1099,5/15/2026,East,Online,Returning,Networking,Ethernet Cable,Nora Chen,2,18.36,3%,35.62
ORD-1100,12/27/2026,East,Corporate Sales,Returning,Monitors,24-inch Monitor,Nora Chen,4,495.9,5%,1884.42
ORD-1101,7/10/2026,North,Corporate Sales,New,Computers,Laptop Air 13,Daniel Wong,3,2295,10%,6196.5
ORD-1102,1/28/2026,Central,Marketplace,Returning,Office Supplies,Notebook Set,Chloe Lim,2,21.38,5%,40.61
ORD-1103,1/8/2026,North,Online,Returning,Monitors,24-inch Monitor,Daniel Wong,2,553.32,5%,1051.31
ORD-1104,2/17/2026,North,Retail Store,Returning,Office Supplies,Sticky Notes,Mei Tan,3,7.2,20%,17.28
ORD-1105,12/28/2026,South,Corporate Sales,Returning,Networking,Wi-Fi Router,Raj Kumar,6,244.44,3%,1422.64
ORD-1106,4/21/2026,East,Corporate Sales,Returning,Monitors,Ultrawide Monitor,Grace Ng,3,1431,5%,4078.35
ORD-1107,2/21/2026,West,Corporate Sales,Returning,Computers,Gaming Laptop,Ben Ho,2,3780,15%,6426
ORD-1108,4/6/2026,South,Online,New,Networking,Network Switch,Farah Ali,2,157.14,3%,304.85
ORD-1109,2/24/2026,South,Online,New,Networking,Ethernet Cable,Farah Ali,3,17.46,10%,47.14
ORD-1110,11/24/2026,North,Online,New,Accessories,Webcam,Mei Tan,2,72,8%,132.48
ORD-1111,5/18/2026,South,Corporate Sales,Returning,Office Supplies,Sticky Notes,Jason Lee,9,6.84,10%,55.4
ORD-1112,6/4/2026,South,Corporate Sales,Returning,Computers,Laptop Air 13,Raj Kumar,2,2250,5%,4275
ORD-1113,1/10/2026,North,Retail Store,Returning,Monitors,27-inch Monitor,Daniel Wong,2,780.3,3%,1513.78
ORD-1114,8/29/2026,North,Online,Returning,Storage,USB Drive 128GB,Aisha Lim,4,57.24,5%,217.51
ORD-1115,7/6/2026,West,Online,Returning,Accessories,Mouse Pad,Sofia Tan,4,14.31,5%,54.38
ORD-1116,6/20/2026,North,Online,Returning,Storage,USB Drive 128GB,Daniel Wong,3,54,0%,162
ORD-1117,5/6/2026,South,Corporate Sales,Returning,Office Supplies,Desk Organizer,Farah Ali,7,30.56,15%,181.8
ORD-1118,1/30/2026,North,Online,Returning,Computers,Gaming Laptop,Aisha Lim,2,3780,0%,7560
ORD-1119,3/31/2026,East,Marketplace,Returning,Accessories,Wireless Mouse,Nora Chen,3,40.5,5%,115.43
ORD-1120,10/6/2026,West,Online,Returning,Accessories,Mouse Pad,Ben Ho,4,13.1,5%,49.76
ORD-1121,5/31/2026,Central,Marketplace,New,Accessories,Keyboard,Kevin Yap,4,58.5,10%,210.6
ORD-1122,2/25/2026,West,Retail Store,Returning,Monitors,Ultrawide Monitor,Ben Ho,2,1377,0%,2754
ORD-1123,9/26/2026,South,Online,Returning,Computers,Gaming Laptop,Raj Kumar,2,3591,10%,6463.8
ORD-1124,9/28/2026,North,Retail Store,Returning,Monitors,24-inch Monitor,Mei Tan,5,553.32,8%,2545.27
ORD-1125,5/16/2026,East,Marketplace,Returning,Office Supplies,Desk Organizer,Nora Chen,4,30.56,3%,118.55
ORD-1126,9/15/2026,East,Retail Store,Returning,Office Supplies,Printer Paper,Nora Chen,5,16.85,8%,77.5
ORD-1127,10/21/2026,South,Online,Returning,Computers,Desktop Mini,Raj Kumar,2,1620,8%,2980.8
ORD-1128,10/12/2026,Central,Corporate Sales,Returning,Monitors,24-inch Monitor,Hafiz Rahman,3,522,10%,1409.4
ORD-1129,11/22/2026,West,Marketplace,Returning,Office Supplies,Notebook Set,Ben Ho,4,23.4,0%,93.6
ORD-1130,7/3/2026,South,Corporate Sales,New,Networking,Mesh Wi-Fi Set,Jason Lee,6,654.75,10%,3535.65
ORD-1131,10/27/2026,West,Retail Store,Returning,Office Supplies,Sticky Notes,Sofia Tan,4,7.2,0%,28.8
ORD-1132,11/25/2026,West,Marketplace,Returning,Accessories,Laptop Stand,Priya Shah,8,34.2,10%,246.24
ORD-1133,8/10/2026,East,Online,Returning,Monitors,27-inch Monitor,Amir Hassan,3,780.3,8%,2153.63
ORD-1134,10/6/2026,West,Retail Store,Returning,Accessories,Keyboard,Ben Ho,6,58.5,0%,351
ORD-1135,11/18/2026,Central,Corporate Sales,Returning,Computers,Laptop Pro 14,Chloe Lim,2,2880,20%,4608
ORD-1136,3/11/2026,Central,Online,Returning,Computers,Laptop Pro 14,Chloe Lim,2,2995.2,8%,5511.17
ORD-1137,3/6/2026,South,Online,Returning,Office Supplies,Desk Organizer,Farah Ali,2,31.5,5%,59.85
ORD-1138,5/9/2026,West,Retail Store,Returning,Office Supplies,Notebook Set,Priya Shah,2,22.5,0%,45
ORD-1139,8/14/2026,North,Online,New,Accessories,USB-C Hub,Aisha Lim,2,52.47,10%,94.45
ORD-1140,1/8/2026,West,Retail Store,Returning,Computers,Laptop Pro 14,Priya Shah,2,2937.6,5%,5581.44
ORD-1141,9/17/2026,Central,Online,Returning,Monitors,24-inch Monitor,Hafiz Rahman,4,542.88,0%,2171.52
ORD-1142,9/12/2026,West,Online,New,Accessories,Mouse Pad,Ben Ho,5,13.1,10%,58.93
ORD-1143,12/2/2026,East,Marketplace,New,Office Supplies,Printer Paper,Nora Chen,4,17.17,15%,58.38
ORD-1144,9/15/2026,North,Online,Returning,Office Supplies,Desk Organizer,Daniel Wong,4,31.5,20%,100.8
ORD-1145,2/6/2026,West,Online,New,Storage,USB Drive 128GB,Ben Ho,2,54,8%,99.36
ORD-1146,10/29/2026,Central,Online,New,Storage,USB Drive 128GB,Chloe Lim,6,54,8%,298.08
ORD-1147,6/27/2026,North,Online,New,Computers,Desktop Mini,Mei Tan,2,1620,10%,2916
ORD-1148,12/9/2026,East,Corporate Sales,Returning,Monitors,Portable Monitor,Nora Chen,3,630,10%,1701
ORD-1149,2/21/2026,South,Retail Store,Returning,Accessories,Wireless Mouse,Farah Ali,6,40.5,8%,223.56
ORD-1150,3/1/2026,North,Corporate Sales,Returning,Networking,Wi-Fi Router,Aisha Lim,9,252,20%,1814.4
ORD-1151,3/6/2026,East,Retail Store,Returning,Storage,External HDD 2TB,Grace Ng,2,279.36,5%,530.78
ORD-1152,6/18/2026,North,Corporate Sales,Returning,Computers,All-in-One PC,Mei Tan,2,2700,20%,4320
ORD-1153,2/28/2026,North,Online,Returning,Networking,Ethernet Cable,Aisha Lim,5,18.36,5%,87.21
ORD-1154,11/28/2026,North,Corporate Sales,Returning,Computers,Desktop Mini,Mei Tan,2,1620,5%,3078
ORD-1155,4/16/2026,North,Retail Store,Returning,Office Supplies,Sticky Notes,Aisha Lim,4,7.2,0%,28.8
ORD-1156,6/23/2026,West,Retail Store,Returning,Office Supplies,Notebook Set,Ben Ho,8,22.5,10%,162
ORD-1157,6/17/2026,South,Marketplace,Returning,Storage,External HDD 2TB,Raj Kumar,3,288,20%,691.2
ORD-1158,11/17/2026,North,Online,New,Storage,USB Drive 128GB,Daniel Wong,6,54,5%,307.8
ORD-1159,9/12/2026,North,Online,Returning,Monitors,27-inch Monitor,Daniel Wong,2,765,10%,1377
ORD-1160,5/30/2026,East,Marketplace,New,Accessories,Mouse Pad,Amir Hassan,4,13.5,10%,48.6
ORD-1161,1/8/2026,East,Retail Store,New,Networking,Network Switch,Amir Hassan,6,162,8%,894.24
ORD-1162,6/23/2026,North,Retail Store,Returning,Accessories,Webcam,Daniel Wong,3,72,10%,194.4
ORD-1163,12/12/2026,Central,Online,Returning,Monitors,Ultrawide Monitor,Chloe Lim,2,1350,5%,2565
ORD-1164,2/3/2026,South,Retail Store,Returning,Computers,Laptop Air 13,Raj Kumar,4,2295,8%,8445.6
ORD-1165,10/16/2026,Central,Retail Store,Returning,Monitors,24-inch Monitor,Chloe Lim,3,542.88,20%,1302.91
ORD-1166,2/8/2026,North,Retail Store,Returning,Storage,Memory Card 256GB,Aisha Lim,4,81,10%,291.6
ORD-1167,9/2/2026,West,Corporate Sales,Returning,Monitors,27-inch Monitor,Priya Shah,3,780.3,0%,2340.9
ORD-1168,6/18/2026,South,Marketplace,Returning,Accessories,Wireless Mouse,Jason Lee,3,42.12,20%,101.09
ORD-1169,12/25/2026,North,Retail Store,Returning,Accessories,Wireless Mouse,Daniel Wong,5,40.5,15%,172.13
ORD-1170,6/20/2026,Central,Online,Returning,Computers,Gaming Laptop,Kevin Yap,2,3780,8%,6955.2
ORD-1171,7/23/2026,East,Retail Store,New,Computers,Laptop Pro 14,Grace Ng,2,2995.2,8%,5511.17
ORD-1172,11/21/2026,North,Retail Store,Returning,Office Supplies,Sticky Notes,Mei Tan,5,7.2,10%,32.4
ORD-1173,7/24/2026,East,Marketplace,New,Storage,External SSD 1TB,Amir Hassan,2,392.85,5%,746.42
ORD-1174,3/23/2026,North,Retail Store,Returning,Monitors,24-inch Monitor,Daniel Wong,3,522,5%,1487.7
ORD-1175,6/13/2026,South,Online,Returning,Computers,Desktop Mini,Raj Kumar,2,1620,5%,3078
ORD-1176,10/4/2026,North,Marketplace,New,Accessories,Keyboard,Daniel Wong,3,62.01,5%,176.73
ORD-1177,4/4/2026,East,Retail Store,Returning,Computers,Desktop Mini,Grace Ng,2,1620,3%,3142.8
ORD-1178,2/15/2026,West,Corporate Sales,New,Office Supplies,Desk Organizer,Priya Shah,4,31.5,8%,115.92
ORD-1179,2/4/2026,West,Retail Store,Returning,Accessories,USB-C Hub,Sofia Tan,5,50.49,0%,252.45
ORD-1180,1/18/2026,Central,Online,Returning,Office Supplies,Printer Paper,Hafiz Rahman,4,17.17,10%,61.82
ORD-1181,5/21/2026,North,Corporate Sales,Returning,Computers,Laptop Pro 14,Mei Tan,2,2880,15%,4896
ORD-1182,12/13/2026,Central,Online,Returning,Office Supplies,Desk Organizer,Chloe Lim,2,29.93,10%,53.87
ORD-1183,11/12/2026,South,Marketplace,Returning,Monitors,27-inch Monitor,Farah Ali,2,810.9,15%,1378.53
ORD-1184,3/15/2026,West,Corporate Sales,New,Computers,Desktop Mini,Ben Ho,2,1620,15%,2754
ORD-1185,11/17/2026,South,Retail Store,New,Networking,Network Switch,Farah Ali,7,165.24,0%,1156.68
ORD-1186,4/25/2026,South,Online,Returning,Monitors,Ultrawide Monitor,Raj Kumar,3,1377,0%,4131
ORD-1187,6/6/2026,South,Retail Store,Returning,Storage,USB Drive 128GB,Farah Ali,4,52.38,20%,167.62
ORD-1188,8/8/2026,Central,Retail Store,Returning,Networking,Ethernet Cable,Kevin Yap,5,18.72,15%,79.56
ORD-1189,11/27/2026,North,Online,Returning,Office Supplies,Notebook Set,Daniel Wong,4,23.85,8%,87.77
ORD-1190,2/27/2026,East,Retail Store,Returning,Accessories,Laptop Stand,Grace Ng,2,36.25,3%,70.33
ORD-1191,7/29/2026,East,Marketplace,Returning,Monitors,Portable Monitor,Amir Hassan,3,598.5,10%,1615.95
ORD-1192,10/13/2026,South,Online,New,Accessories,USB-C Hub,Raj Kumar,5,50.49,5%,239.83
ORD-1193,3/12/2026,Central,Retail Store,New,Accessories,Keyboard,Hafiz Rahman,3,60.84,15%,155.14
ORD-1194,11/30/2026,South,Online,Returning,Office Supplies,Pen Pack,Farah Ali,2,11.02,20%,17.63
ORD-1195,7/24/2026,Central,Marketplace,Returning,Networking,Network Switch,Chloe Lim,4,168.48,15%,572.83
ORD-1196,5/6/2026,South,Marketplace,Returning,Accessories,Mouse Pad,Raj Kumar,4,14.04,20%,44.93
ORD-1197,3/4/2026,North,Online,Returning,Storage,External SSD 1TB,Mei Tan,5,405,5%,1923.75
ORD-1198,7/25/2026,Central,Online,Returning,Accessories,Mouse Pad,Hafiz Rahman,4,13.77,10%,49.57
ORD-1199,4/29/2026,North,Corporate Sales,New,Computers,Laptop Pro 14,Aisha Lim,2,2880,5%,5472
ORD-1200,12/1/2026,Central,Corporate Sales,Returning,Computers,Gaming Laptop,Kevin Yap,2,3931.2,5%,7469.28
ORD-1201,6/28/2026,North,Marketplace,New,Monitors,24-inch Monitor,Mei Tan,5,542.88,8%,2497.25
ORD-1202,9/6/2026,North,Corporate Sales,Returning,Networking,Wi-Fi Router,Daniel Wong,3,252,8%,695.52
ORD-1203,8/28/2026,North,Marketplace,Returning,Storage,External HDD 2TB,Aisha Lim,2,305.28,15%,518.98
ORD-1204,1/12/2026,North,Online,Returning,Storage,Memory Card 256GB,Aisha Lim,5,81,10%,364.5
ORD-1205,12/18/2026,South,Online,Returning,Storage,USB Drive 128GB,Farah Ali,3,54,15%,137.7
ORD-1206,2/24/2026,East,Marketplace,Returning,Computers,Gaming Laptop,Nora Chen,2,3591,3%,6966.54
ORD-1207,1/18/2026,Central,Retail Store,Returning,Accessories,Laptop Stand,Hafiz Rahman,3,34.2,10%,92.34
ORD-1208,7/31/2026,West,Online,Returning,Networking,Network Switch,Sofia Tan,2,171.72,10%,309.1
ORD-1209,3/18/2026,East,Marketplace,Returning,Storage,External SSD 1TB,Grace Ng,6,384.75,0%,2308.5
ORD-1210,1/1/2026,South,Marketplace,New,Storage,External SSD 1TB,Jason Lee,4,405,5%,1539
ORD-1211,9/30/2026,East,Retail Store,Returning,Accessories,Webcam,Amir Hassan,2,74.88,5%,142.27
ORD-1212,10/7/2026,North,Marketplace,Returning,Office Supplies,Pen Pack,Mei Tan,7,10.48,8%,67.47
ORD-1213,3/17/2026,South,Online,Returning,Accessories,USB-C Hub,Raj Kumar,4,52.47,20%,167.9
ORD-1214,4/27/2026,Central,Corporate Sales,Returning,Office Supplies,Notebook Set,Chloe Lim,7,23.4,8%,150.7
ORD-1215,9/23/2026,North,Retail Store,Returning,Office Supplies,Sticky Notes,Mei Tan,7,6.98,15%,41.55
ORD-1216,3/28/2026,West,Retail Store,New,Networking,Ethernet Cable,Sofia Tan,2,17.1,10%,30.78
ORD-1217,12/19/2026,North,Marketplace,Returning,Networking,Ethernet Cable,Aisha Lim,4,18,10%,64.8
ORD-1218,9/18/2026,South,Corporate Sales,New,Networking,Wi-Fi Router,Raj Kumar,3,257.04,5%,732.56
ORD-1219,5/25/2026,East,Retail Store,Returning,Computers,Desktop Mini,Amir Hassan,2,1717.2,5%,3262.68
ORD-1220,6/22/2026,East,Retail Store,Returning,Computers,Laptop Air 13,Grace Ng,2,2182.5,3%,4234.05
ORD-1221,5/10/2026,West,Online,New,Accessories,Laptop Stand,Sofia Tan,3,36.25,0%,108.76
ORD-1222,2/14/2026,East,Retail Store,Returning,Accessories,Laptop Stand,Amir Hassan,4,33.17,10%,119.43
ORD-1223,1/14/2026,South,Online,Returning,Networking,Mesh Wi-Fi Set,Farah Ali,5,675,0%,3375
ORD-1224,4/16/2026,North,Online,New,Accessories,Wireless Mouse,Daniel Wong,3,41.31,0%,123.93
ORD-1225,7/20/2026,North,Online,New,Networking,Ethernet Cable,Aisha Lim,6,18.72,3%,108.95
ORD-1226,6/27/2026,Central,Marketplace,New,Accessories,Mouse Pad,Hafiz Rahman,3,13.5,3%,39.29
ORD-1227,10/12/2026,West,Retail Store,Returning,Office Supplies,Desk Organizer,Ben Ho,3,32.76,15%,83.54
ORD-1228,2/19/2026,North,Marketplace,New,Storage,External SSD 1TB,Aisha Lim,8,429.3,3%,3331.37
ORD-1229,3/11/2026,Central,Corporate Sales,Returning,Monitors,Ultrawide Monitor,Hafiz Rahman,2,1350,3%,2619
ORD-1230,3/10/2026,East,Retail Store,Returning,Monitors,Portable Monitor,Grace Ng,4,598.5,5%,2274.3
ORD-1231,8/30/2026,North,Corporate Sales,Returning,Computers,All-in-One PC,Daniel Wong,2,2565,10%,4617
ORD-1232,6/25/2026,South,Corporate Sales,New,Computers,Laptop Air 13,Jason Lee,2,2250,8%,4140
ORD-1233,8/17/2026,North,Marketplace,Returning,Accessories,Wireless Mouse,Aisha Lim,6,39.29,10%,212.14
ORD-1234,5/15/2026,Central,Retail Store,New,Accessories,Mouse Pad,Kevin Yap,3,14.31,3%,41.64
ORD-1235,2/28/2026,South,Online,Returning,Networking,Mesh Wi-Fi Set,Farah Ali,4,675,5%,2565
ORD-1236,8/12/2026,Central,Retail Store,New,Storage,Memory Card 256GB,Hafiz Rahman,5,76.95,15%,327.04
